,brand,category_code,product_code,price,event_type,shopping_time,coupon
27690805,maxvi,electronics,telephone,8.75,view,18,Yes
23198259,apple,electronics,headphone,160.62,view,17,Yes
2306245,sho-me,auto,radar,83.97,view,18,Yes
40838323,oppo,electronics,smartphone,501.69,view,15,Yes
1157982,mido,electronics,clocks,916.37,view,19,Yes
33154957,samsung,electronics,smartphone,131.51,view,17,Yes
26074821,pozis,appliances,refrigerators,295.76,view,17,No
27194293,xiaomi,electronics,smartphone,187.89,view,13,Yes
16155292,nokia,electronics,telephone,36.01,view,6,Yes
806306,samsung,electronics,smartphone,871.05,view,14,Yes
32818915,maunfeld,appliances,kettle,38.33,view,14,No
21523825,pocketbook,computers,ebooks,254.57,view,15,Yes
15022562,apple,electronics,smartphone,940.82,view,10,Yes
26261774,apple,electronics,smartphone,746.09,view,20,No
14769741,elenberg,appliances,kettle,20.57,view,7,Yes
27805672,apple,electronics,smartphone,746.09,view,23,No
1005037,samsung,electronics,smartphone,254.11,view,16,Yes
9823906,xiaomi,auto,videoregister,48.39,view,15,Yes
1628420,bosch,appliances,kettle,49.06,view,8,Yes
33984925,baden,apparel,shoes,69.24,view,11,Yes
29755192,oppo,electronics,smartphone,183.85,view,9,Yes
7496391,hp,computers,notebook,347.47,view,18,Yes
21585609,karya,accessories,wallet,32.18,view,15,No
12690903,apple,electronics,smartphone,1428.33,view,18,No
40818473,xiaomi,electronics,tablet,383.54,view,15,No
6454381,samsung,electronics,smartphone,130.25,view,4,No
9137249,nakamichi,electronics,subwoofer,120.98,view,6,No
395875,dell,computers,notebook,725.63,view,8,Yes
12061147,tcl,electronics,tv,217.51,view,10,No
15586816,huawei,electronics,smartphone,485.54,view,17,No
12230794,kivi,electronics,tv,154.42,view,12,Yes
26104214,hansa,appliances,microwave,231.49,view,17,Yes
32370794,samsung,electronics,smartphone,195.47,view,7,No
11213076,xiaomi,electronics,smartphone,74.27,view,15,Yes
13839394,tristar,appliances,blender,31.92,view,14,No
2692072,huawei,electronics,smartphone,256.88,view,6,No
7604390,hp,computers,desktop,459.91,view,21,No
4277311,mbs,appliances,oven,287.24,view,12,Yes
3238315,tefal,appliances,iron,69.42,view,15,No
23033502,alpine,electronics,subwoofer,172.46,view,16,No
41189021,acer,computers,desktop,2571.24,view,22,No
1597077,huawei,electronics,smartphone,276.7,view,7,Yes
35237614,haier,electronics,tv,154.42,view,8,No
24990992,baden,apparel,shoes,62.81,view,4,Yes
37139453,xerox,computers,printer,101.16,view,15,No
38673053,lg,electronics,tv,396.48,view,19,Yes
28045215,panasonic,electronics,telephone,42.44,view,5,No
13918971,escan,apparel,keds,53.8,view,15,No
21470618,samsung,appliances,refrigerators,1029.37,view,14,No
25086986,asus,computers,notebook,592.01,view,5,No
19608233,lg,appliances,microwave,158.56,view,11,Yes
40123615,samsung,electronics,tv,488.8,view,4,Yes
4756063,pulser,computers,desktop,1763.21,view,17,Yes
6155113,apple,electronics,smartphone,580.48,view,18,Yes
25866360,huawei,electronics,smartphone,485.54,view,15,No
13743755,strobbs,apparel,keds,64.61,view,13,Yes
2441761,wonlex,electronics,clocks,29.6,view,0,No
3765144,samsung,electronics,smartphone,174.05,view,5,No
15495568,artel,electronics,tv,150.17,view,16,No
26134253,xiaomi,electronics,headphone,22.94,view,18,Yes
36958652,saturn,appliances,mixer,30.63,view,13,No
9734574,sv,furniture,bed,141.32,view,14,Yes
29807499,samsung,electronics,smartphone,224.33,view,10,No
29175292,continent,accessories,bag,16.11,view,20,No
41185518,huawei,electronics,smartphone,165.0,view,21,No
10627890,xiaomi,construction,light,90.07,view,8,Yes
26519339,samsung,electronics,smartphone,88.55,view,5,Yes
27878985,xiaomi,electronics,smartphone,329.46,view,2,Yes
39897704,giant,sport,bicycle,1595.67,view,18,Yes
4536251,samsung,electronics,smartphone,252.75,view,14,No
39756650,oasis,appliances,hob,167.29,view,17,Yes
13606341,pioneer,auto,player,66.93,view,12,No
16622653,alpine,auto,player,115.83,view,11,Yes
4261318,apple,electronics,smartphone,975.56,view,11,Yes
4423147,samsung,electronics,smartphone,252.8,view,13,No
30326689,apple,electronics,smartphone,1671.81,view,16,No
22194944,samsung,electronics,smartphone,1138.61,view,5,Yes
26011241,lenovo,computers,notebook,504.26,view,16,No
30062739,samsung,electronics,smartphone,246.81,view,13,No
15053653,apple,electronics,smartphone,1428.31,view,11,Yes
32285993,aerocool,computers,cooler,3.09,view,6,Yes
37604273,sho-me,auto,videoregister,90.09,view,4,Yes
10650174,sony,electronics,headphone,38.35,view,8,Yes
340113,huawei,electronics,smartphone,110.24,view,8,No
41165411,nike,apparel,costume,76.96,view,20,No
15112794,samsung,electronics,smartphone,635.54,view,12,No
16480138,karcher,appliances,vacuum,100.36,view,10,Yes
37875078,samsung,electronics,smartphone,172.22,view,8,No
21314561,samsung,electronics,tv,604.65,view,13,Yes
16016073,baden,apparel,shoes,82.63,view,5,Yes
42021853,redmond,appliances,grill,224.95,view,14,Yes
9932880,apple,electronics,smartphone,1309.69,view,16,No
16914433,apple,computers,desktop,2574.04,view,14,Yes
29640734,huawei,electronics,smartphone,166.09,view,8,No
41638933,xiaomi,electronics,smartphone,85.97,view,9,Yes
39659959,samsung,electronics,smartphone,130.99,view,16,Yes
1874746,boccia,electronics,clocks,162.17,view,12,No
17762903,samsung,appliances,washer,398.95,view,6,Yes
226277,kitfort,appliances,blender,54.07,view,6,Yes
30172367,lenovo,computers,notebook,1262.38,view,15,No
15783737,samsung,electronics,smartphone,130.48,view,21,Yes
19720891,xiaomi,electronics,headphone,42.21,view,12,No
36662131,xiaomi,electronics,smartphone,311.58,view,10,Yes
35265836,xiaomi,electronics,smartphone,313.78,view,9,No
39524367,apple,accessories,bag,30.07,view,14,No
24537767,apple,electronics,smartphone,1003.6,view,16,No
6245078,housefit,sport,trainer,566.3,view,19,Yes
6278698,selby,furniture,chair,36.01,view,21,Yes
25949257,xiaomi,electronics,smartphone,290.84,view,16,Yes
16341144,apple,electronics,smartphone,1955.75,view,8,Yes
9207528,apple,electronics,smartphone,559.86,view,7,Yes
38576239,huawei,electronics,clocks,169.63,view,17,No
32677019,artel,electronics,tv,147.18,view,12,Yes
17330633,babytime,kids,carriage,92.4,view,18,No
4077442,prestigio,electronics,tablet,127.91,view,9,No
24295909,dauscher,appliances,meat_grinder,25.71,view,14,Yes
28704704,lenovo,computers,notebook,437.57,view,14,No
37724210,aerocool,computers,cooler,9.25,view,6,No
